"state","county","tract","GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME","P002001ERR"
"17","031","828601","1400000US17031828601",4187,4187,4187,0,0,0,"Census Tract 8286.01, Cook County, Illinois",NA
"17","119","403531","1400000US17119403531",8226,7839,7839,0,387,0,"Census Tract 4035.31, Madison County, Illinois",NA
"17","195","000200","1400000US17195000200",2994,1493,0,1493,1501,0,"Census Tract 2, Whiteside County, Illinois",NA
"17","031","812802","1400000US17031812802",2444,2444,2444,0,0,0,"Census Tract 8128.02, Cook County, Illinois",NA
"17","031","200300","1400000US17031200300",2209,2209,2209,0,0,0,"Census Tract 2003, Cook County, Illinois",NA
"17","107","953000","1400000US17107953000",2593,0,0,0,2593,0,"Census Tract 9530, Logan County, Illinois",NA
"17","031","381400","1400000US17031381400",1612,1612,1612,0,0,0,"Census Tract 3814, Cook County, Illinois",NA
"17","111","871304","1400000US17111871304",3215,3215,3215,0,0,0,"Census Tract 8713.04, McHenry County, Illinois",NA
"17","111","871310","1400000US17111871310",4381,4381,4381,0,0,0,"Census Tract 8713.10, McHenry County, Illinois",NA
"17","031","580502","1400000US17031580502",5349,5349,5349,0,0,0,"Census Tract 5805.02, Cook County, Illinois",NA
"17","043","845807","1400000US17043845807",6197,6197,6197,0,0,0,"Census Tract 8458.07, DuPage County, Illinois",NA
"17","031","160900","1400000US17031160900",2405,2405,2405,0,0,0,"Census Tract 1609, Cook County, Illinois",NA
"17","031","020400","1400000US17031020400",4168,4168,4168,0,0,0,"Census Tract 204, Cook County, Illinois",NA
"17","031","221200","1400000US17031221200",2860,2860,2860,0,0,0,"Census Tract 2212, Cook County, Illinois",NA
"17","093","890700","1400000US17093890700",15257,10533,10533,0,4724,0,"Census Tract 8907, Kendall County, Illinois",NA
"17","031","660400","1400000US17031660400",5960,5960,5960,0,0,0,"Census Tract 6604, Cook County, Illinois",NA
"17","019","001203","1400000US17019001203",4592,4592,4592,0,0,0,"Census Tract 12.03, Champaign County, Illinois",NA
"17","031","160700","1400000US17031160700",5893,5893,5893,0,0,0,"Census Tract 1607, Cook County, Illinois",NA
"17","117","956900","1400000US17117956900",3754,3555,0,3555,199,0,"Census Tract 9569, Macoupin County, Illinois",NA
"17","031","710500","1400000US17031710500",4123,4123,4123,0,0,0,"Census Tract 7105, Cook County, Illinois",NA
"17","031","730201","1400000US17031730201",5941,5941,5941,0,0,0,"Census Tract 7302.01, Cook County, Illinois",NA
"17","197","883602","1400000US17197883602",5619,4278,4278,0,1341,0,"Census Tract 8836.02, Will County, Illinois",NA
"17","043","841002","1400000US17043841002",3207,3207,3207,0,0,0,"Census Tract 8410.02, DuPage County, Illinois",NA
"17","201","000512","1400000US17201000512",5203,5203,5203,0,0,0,"Census Tract 5.12, Winnebago County, Illinois",NA
"17","143","003300","1400000US17143003300",3060,3060,3060,0,0,0,"Census Tract 33, Peoria County, Illinois",NA
"17","031","740200","1400000US17031740200",6547,6547,6547,0,0,0,"Census Tract 7402, Cook County, Illinois",NA
"17","031","832000","1400000US17031832000",1798,1798,1798,0,0,0,"Census Tract 8320, Cook County, Illinois",NA
"17","031","817101","1400000US17031817101",4542,4542,4542,0,0,0,"Census Tract 8171.01, Cook County, Illinois",NA
"17","031","821900","1400000US17031821900",5233,5233,5233,0,0,0,"Census Tract 8219, Cook County, Illinois",NA
"17","043","846408","1400000US17043846408",4156,4156,4156,0,0,0,"Census Tract 8464.08, DuPage County, Illinois",NA
"17","031","242900","1400000US17031242900",1670,1670,1670,0,0,0,"Census Tract 2429, Cook County, Illinois",NA
"17","031","822400","1400000US17031822400",6226,6226,6226,0,0,0,"Census Tract 8224, Cook County, Illinois",NA
"17","031","823304","1400000US17031823304",5927,5927,5927,0,0,0,"Census Tract 8233.04, Cook County, Illinois",NA
"17","031","711200","1400000US17031711200",5145,5145,5145,0,0,0,"Census Tract 7112, Cook County, Illinois",NA
"17","095","000700","1400000US17095000700",2163,2163,0,2163,0,0,"Census Tract 7, Knox County, Illinois",NA
"17","031","819100","1400000US17031819100",4552,4552,4552,0,0,0,"Census Tract 8191, Cook County, Illinois",NA
"17","161","023000","1400000US17161023000",3915,3915,3915,0,0,0,"Census Tract 230, Rock Island County, Illinois",NA
"17","031","803901","1400000US17031803901",3452,3452,3452,0,0,0,"Census Tract 8039.01, Cook County, Illinois",NA
