"COUNTYFP","TRACT","pm","label_cause","age_group_id","rr"
73,12200,16.64,"resp_copd","all ages",1.18374363205913
73,12302,16.3,"resp_copd","all ages",1.1734357228231
73,12303,16.85,"resp_copd","all ages",1.18374363205913
73,12401,17.05,"resp_copd","all ages",1.18374363205913
73,12402,16.81,"resp_copd","all ages",1.18374363205913
73,12403,16.48,"resp_copd","all ages",1.1734357228231
73,12500,16.63,"resp_copd","all ages",1.18374363205913
73,12602,16.78,"resp_copd","all ages",1.18374363205913
73,12701,16.26,"resp_copd","all ages",1.1734357228231
73,12702,16.16,"resp_copd","all ages",1.1734357228231
73,12801,16.95,"resp_copd","all ages",1.18374363205913
73,12901,17.68,"resp_copd","all ages",1.19399361954659
73,12903,17.17,"resp_copd","all ages",1.18374363205913
73,12905,16.94,"resp_copd","all ages",1.18374363205913
73,12906,17.61,"resp_copd","all ages",1.19399361954659
73,12907,17.87,"resp_copd","all ages",1.19399361954659
73,12908,18.68,"resp_copd","all ages",1.20418645957133
73,12909,18.97,"resp_copd","all ages",1.20418645957133
73,13002,17.59,"resp_copd","all ages",1.19399361954659
73,13100,17.16,"resp_copd","all ages",1.18374363205913
73,13200,18.26,"resp_copd","all ages",1.19399361954659
73,13300,17.66,"resp_copd","all ages",1.19399361954659
73,13400,17.72,"resp_copd","all ages",1.19399361954659
