"label_cause","censMeta.variable","pafs","Census_Region"
"resp_copd","PCT012J027",0.0174157050053383,1
"resp_copd","PCT012J024",0.0141419716641525,1
"resp_copd","PCT012J025",0.0199325348569038,1
"resp_copd","PCT012J028",NA,1
"resp_copd","PCT012J029",0.0211925329609348,1
"resp_copd","PCT012J022",0.0183608247292548,1
"resp_copd","PCT012J023",0.0171647435078457,1
"resp_copd","PCT012J020",0.0102839654823864,1
"resp_copd","PCT012J021",0.0208078845896916,1
"resp_copd","PCT012J015",NA,1
"resp_copd","PCT012J016",0.0218231406887916,1
"resp_copd","PCT012J013",0.0141418012689373,1
"resp_copd","PCT012J014",0.0166176042998068,1
"resp_copd","PCT012J019",0.0150031896226293,1
"resp_copd","PCT012J017",0.0213879016232723,1
"resp_copd","PCT012J018",0.0167952211296047,1
"resp_copd","PCT012J011",0.0140528858380169,1
"resp_copd","PCT012J012",0.016835005365448,1
"resp_copd","PCT012J010",0.0217615271176205,1
"resp_copd","PCT012J004",0.019342462403983,1
"resp_copd","PCT012J005",0.0162536818528938,1
"resp_copd","PCT012J003",0.018962403713728,1
"resp_copd","PCT012J008",0.0185408555001393,1
"resp_copd","PCT012J009",0.0176236826235251,1
"resp_copd","PCT012J006",0.0152384749537074,1
"resp_copd","PCT012J007",0.00987931863198673,1
"resp_copd","PCT012K169",0.0200482416225524,1
"resp_copd","PCT012K168",0.014797452570424,1
"resp_copd","PCT012K163",0.0156647431207448,1
"resp_copd","PCT012K162",0.0335973476256974,1
"resp_copd","PCT012K161",NA,1
"resp_copd","PCT012K160",0.0190953966108417,1
"resp_copd","PCT012K167",0.0231626998265834,1
"resp_copd","PCT012K166",0.0169660533901982,1
"resp_copd","PCT012K165",0.0138305036903092,1
"resp_copd","PCT012K164",0.0217567237650692,1
"resp_copd","PCT012K159",0.0260966800086626,1
"resp_copd","PCT012K158",0.0400003613423616,1
"resp_copd","PCT012K157",0.0205712543105455,1
"resp_copd","PCT012K152",0.0210074088497023,1
"resp_copd","PCT012K151",0.0133513295891521,1
"resp_copd","PCT012K150",0.026422049893573,1
"resp_copd","PCT012K156",0.0243398999423317,1
"resp_copd","PCT012K155",0.0197074053669171,1
"resp_copd","PCT012K154",0.0159225203572175,1
"resp_copd","PCT012K153",0.0199633981313599,1
"resp_copd","PCT012K149",0.0228911626450931,1
"resp_copd","PCT012K148",NA,1
"resp_copd","PCT012K147",0.00977435665467478,1
"resp_copd","PCT012K146",0.0209888710276862,1
"resp_copd","PCT012K141",0.0192551974841279,1
"resp_copd","PCT012K140",0.0157238591908675,1
"resp_copd","PCT012K145",0.0182829941898422,1
"resp_copd","PCT012K144",0.0135716884509935,1
"resp_copd","PCT012K143",0.0282420494585322,1
"resp_copd","PCT012K142",0.0146684670908348,1
"resp_copd","PCT012K138",0.0223069156500655,1
"resp_copd","PCT012K137",0.023316702341815,1
"resp_copd","PCT012K136",0.01604380933009,1
"resp_copd","PCT012K135",NA,1
"resp_copd","PCT012K139",0.0128195596845419,1
"resp_copd","PCT012K130",0.0253317591231634,1
"resp_copd","PCT012K134",0.0197787567677065,1
"resp_copd","PCT012K133",0.0282971440916974,1
"resp_copd","PCT012K132",0.0167713642952381,1
"resp_copd","PCT012K131",0.0187934340283122,1
"resp_copd","PCT012K192",0.0202984327899466,1
"resp_copd","PCT012K191",0,1
"resp_copd","PCT012K190",0.00966100772149085,1
"resp_copd","PCT012K196",0.0345494466254551,1
"resp_copd","PCT012K195",0,1
"resp_copd","PCT012K194",0,1
"resp_copd","PCT012K193",0,1
"resp_copd","PCT012K199",0,1
"resp_copd","PCT012K198",0,1
"resp_copd","PCT012K197",0.0463880700804705,1
"resp_copd","PCT012K181",0.00475998538559124,1
"resp_copd","PCT012K180",0.049477797516742,1
"resp_copd","PCT012K185",0.0215854982709313,1
"resp_copd","PCT012K184",0.0176471956634714,1
"resp_copd","PCT012K183",0.0249879988855734,1
"resp_copd","PCT012K182",0.0141806205981141,1
"resp_copd","PCT012K189",0.0547102253104648,1
"resp_copd","PCT012K188",0.0245160015930231,1
"resp_copd","PCT012K187",NA,1
"resp_copd","PCT012K186",0.0163581614172465,1
"resp_copd","PCT012K170",0.0229977248739288,1
"resp_copd","PCT012K179",0.0204084029160409,1
"resp_copd","PCT012K174",NA,1
"resp_copd","PCT012K173",0.0365223024386711,1
"resp_copd","PCT012K172",0.017385567132443,1
"resp_copd","PCT012K171",0.0232652774964879,1
"resp_copd","PCT012K178",0.0194270198715837,1
"resp_copd","PCT012K177",0.0116968170709151,1
"resp_copd","PCT012K176",0.0326039283785802,1
"resp_copd","PCT012K175",0.0355771477713942,1
"resp_copd","PCT012K204",0,1
"resp_copd","PCT012K203",0,1
"resp_copd","PCT012K202",0,1
"resp_copd","PCT012K201",0,1
"resp_copd","PCT012K208",0,1
"resp_copd","PCT012K207",0.140276926715515,1
"resp_copd","PCT012K206",0,1
"resp_copd","PCT012K205",0,1
"resp_copd","PCT012K200",NA,1
